Ticker,Vencimento,Dias úteis,F.M. ,Mod.,Strike,A/I/OTM,Dist. (%) do Strike,Último,Var. (%),Data/Hora,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRF416,20/06/2025,13,,A,38.26,OTM,"+23,82",1,"-5,000",30/05/2025,9,"1.976,00",383,154,138,-42,"-4,167","2,846",168,50.1,348.2,1.287.900,32,19
PETRF271,20/06/2025,13,,E,26.51,ITM,"-1,421",480,-514,30/05/2025,1,"48,000",383,"9,700",242,-216,-45,"4,973",27,6.8,45.2,22.5,7,26
PETRG494,18/07/2025,33,,E,49.55,OTM,"+60,36",1,,08/05/2025,3,"30,000",384,61,33,-10,"-1,000","2,391",100,0,30,0,1,1
PETRG467,18/07/2025,33,,E,46.05,OTM,"+49,03",2,,22/05/2025,1,200,388,125,67,-22,"-1,100","4,057",100,0,0,100,1,1
PETRG485,18/07/2025,33,,E,48.55,OTM,"+57,12",1,,21/05/2025,1,100,388,65,37,-12,"-1,200","2,352",100,0,100,0,1,1
PETRG474,18/07/2025,33,,A,46.8,OTM,"+51,46",2,"+100,00",22/05/2025,1,200,389,96,53,-17,-866,"3,216",100,0,0,1.1,2,2
PETRG484,18/07/2025,33,,A,47.8,OTM,"+54,69",1,,22/05/2025,1,100,389,66,38,-12,"-1,200","2,315",100,0,0,100,1,1
PETRF38,20/06/2025,13,,E,38.01,OTM,"+23,01",2,0,30/05/2025,28,"3.942,00",390,197,168,-52,"-2,610","3,502",177,19.3,1.128.400,649.1,71,40
PETRF3,20/06/2025,13,,E,25.51,ITM,"-1,744",606,0,26/05/2025,3,"7.349,00",390,"9,884",106,-177,-29,"2,222",41,5.1,4,64.7,7,17
PETRF424,20/06/2025,13,,E,39.01,OTM,"+26,25",1,0,30/05/2025,1,100,390,147,125,-40,"-3,957","2,843",100,4.4,1.395.400,2.340.300,27,27
PETRF370W1,06/06/2025,4,,A,37,OTM,"+19,74",1,,27/05/2025,2,300,391,176,179,-56,"-5,573","2,690",50,0,200,100,1,2
PETRF447,20/06/2025,13,,E,44.01,OTM,"+42,43",1,0,29/05/2025,1,100,391,110,70,-23,"-2,340","3,068",138,100,21.4,204.6,11,8
PETRG469,18/07/2025,33,,A,46.3,OTM,"+49,84",2,,22/05/2025,1,200,393,123,65,-22,"-1,100","3,995",100,0,0,100,1,1
PETRF266,20/06/2025,13,,E,26.01,ITM,"-1,583",529,-503,30/05/2025,1,"13.225,00",394,"9,793",173,-198,-38,"3,646",13,15,129.8,49,3,24
PETRG477,18/07/2025,33,,E,47.05,OTM,"+52,27",2,,22/05/2025,1,200,394,94,51,-17,-862,"3,169",100,0,0,100,1,1
